Name | Description | Default Value | Flags
citadel_debug_trooper_look_target |  | false | sv, cheat
citadel_debug_zipline_camera_height_add | Add to zipline camera height offset | 0 | sv, cl, rep, cheat
citadel_debug_zipline_camera_side_add | Add to zipline camera side offset | 0 | sv, cl, rep, cheat
citadel_decrease_replay_speed | Decrease the Replay speed while watching a replay | cmd | cl, release
citadel_default_bot_difficulty | Time for a disconnected player to be taken over by a bot | 1 | devonly, sv, rep
citadel_default_minimap_icon_radius |  | 18 | devonly, cl
citadel_default_reveal_duration |  | 0.25 | devonly, sv
citadel_demo_highlight_seconds_after | How many seconds after the highlight event to show when viewing highlights. | 2 | cl, release
citadel_demo_highlight_seconds_before | How many seconds before the highlight event to show when viewing highlights. | 6 | cl, release
citadel_demo_movie_preload_ticks | How many ticks of demo playback before we activate movie recording. | 2 | cl, release
citadel_deny_denied_percentage |  | 0 | devonly, sv
citadel_deny_denier_percentage |  | 1 | devonly, sv
citadel_deny_orb_scale |  | 1 | devonly, sv, cl, rep
citadel_deny_text_height_offset | How much higher should deny text show up. | 35 | devonly, cl
citadel_deny_text_max_distance | How far away before we stop showing in world deny events. | 4000 | cl, a
citadel_deployment_max_height_offset_down |  | 1000 | devonly, sv, cl, rep
citadel_deployment_max_height_offset_up |  | 125 | devonly, sv, cl, rep
citadel_destroy_all_bosses | Kills all the guardians | cmd | devonly, sv
citadel_destroy_all_npcs | Kills all bosses and troopers in the map | cmd | devonly, sv
citadel_destroyable_building_damage_scale |  | 1 | devonly, sv
citadel_dev_always_lethal_damage |  | false | devonly, sv, cl, rep
citadel_dev_book_force_unlocked |  | false | devonly, cl
citadel_dev_boss_backdoor_protection_disabled | Set to Disable Backdoor Protection for Bosses | false | devonly, sv, cl, rep, cheat
citadel_dev_discord_link |  | false | devonly, cl
citadel_dev_orb_freeze_time | Time after launching for the orb to become stationary. | 0 | devonly, sv
citadel_dev_simulate_mm_response | Allows for forcing MM to act like it returned the specified error for UI testing | -1 | devonly, cl
citadel_dev_test_end_game_fake_time |  | 0 | devonly, sv, cl, rep
citadel_dev_test_end_game_gold |  | 20000 | devonly, sv
citadel_dev_test_endgame | Set the Map to test End game content | cmd | cl, cheat, release
citadel_dev_test_endgame_server_cmd | Set the Map to test End game content | cmd | sv, cheat, release
citadel_digger_debugburrow |  | false | devonly, sv
citadel_disable_check_on_ground | Don't run CheckOnGround ever. Do we even need it? | false | sv, cheat
citadel_disable_duplicate_heroes | Disable usage of Duplicate Heroes | cmd | sv, cheat, release
citadel_disable_fast_cooldowns | Disable fast cooldowns | cmd | sv, cheat
citadel_disable_fast_stamina | Disable fast stamina | cmd | sv, cheat
citadel_disable_no_hero_death | Make heroes able to die | cmd | sv, cheat
citadel_disable_purchasing_in_combat | Disable purchasing if you deal or take damage from an enemy player. | false | devonly, sv, cl, rep
citadel_disable_quick_response | Turns quick response to ping messages off. | true | devonly, cl
citadel_disable_unlimited_ammo | Disable unlimited ammo | cmd | sv, cheat
citadel_display_new_player_recommendations | Do we want to show the decorations for new player friendly heroes? | true | cl, release
citadel_distance_mouse_move_for_minimap_drawing |  | 15 | cl, release
citadel_doorway_debug_draw |  | 0 | sv, cl, rep, cheat
citadel_doorway_glow_close_distance |  | 200 | sv, cl, rep, cheat
citadel_doorway_glow_other_distance |  | 1000 | sv, cl, rep, cheat
citadel_doorway_infinite_duration |  | false | sv, cl, rep, cheat
citadel_doorway_portal_forward_offset |  | -3 | sv, cl, rep, cheat
citadel_dps_multiplier | Increase weapon damage for testing | 1 | sv, cl, rep, cheat
citadel_draw_bot_enemy | Draw line to target enemy | false | devonly, sv
citadel_draw_bot_follow_target | Draw bot follow target | false | devonly, sv
citadel_draw_bot_full_path | Draw bot pathing | false | devonly, sv
citadel_draw_bot_safety | Draw bot pathing goal / chosen enemy | false | devonly, sv
citadel_draw_cover_points | visualizes all the trooper cover points | cmd | devonly, sv
citadel_draw_debug_guide_only | Debug drawing for bot only applies to guide bots | false | devonly, sv
citadel_draw_distant_trooper_nodes |  | false | devonly, sv
citadel_draw_lanes |  | false | devonly, sv
citadel_draw_lanes_filter | If sets filters to drawing to a specific lane | 0 | devonly, sv
citadel_draw_trooper_lanes |  | false | devonly, sv
citadel_draw_trooper_path | Draws a path between two coordinates | cmd | devonly, sv
citadel_druid_debug_bush_network |  | false | devonly, sv, cl, rep
citadel_duck_spam_slow_penalty_duration | How long the slow penalty is for spamming duck is | 0.5 | devonly, sv, cl, rep
citadel_dump_build_tags | dump all build tag tokens | cmd | devonly, cl
citadel_dump_bullets | dump all bullet info to the console | cmd | devonly, sv
citadel_dump_deleted_entity_counts | Displays counts of which kinds of entities have been deleted since map started | cmd | devonly, cl
citadel_dump_game_state | Dumps current state of the game and all players | cmd | devonly, sv
citadel_dump_items_with_component | Dump to Console All items with components and their components | cmd | devonly, cl
citadel_dump_keybindings |  | false | devonly, cl
citadel_dump_player_stats | Dump stat component values for local player | cmd | devonly, cl
citadel_dump_rank_data | Request rank confidence score from GC. | cmd | devonly, cl
citadel_enable_double_ping | Turns off the ability to have aggressive and passive pings. | true | devonly, cl
citadel_enable_duplicate_heroes | Enable usage of Duplicate Heroes | cmd | sv, cheat, release
citadel_enable_fast_cooldowns | Enables fast cooldowns | cmd | sv, cheat
citadel_enable_fast_stamina | Enables fast stamina | cmd | sv, cheat
citadel_enable_nearby_capture_point | Enables the first capture point found within 20m | cmd | sv, cheat, release
citadel_enable_new_ping_particle | Convar to test new ping particle | false | devonly, cl
citadel_enable_no_hero_death | Make heroes unable to die | cmd | sv, cheat
citadel_enable_parties | Enable client side party UI | true | devonly, cl
citadel_enable_ping_rate_limiting |  | false | devonly, sv
citadel_enable_survey | Kill switch in case we want to make sure the survey isn't shown, or temporarily disable it | true | devonly, cl
citadel_enable_unlimited_ammo | Enables unlimited ammo | cmd | sv, cheat
citadel_enable_vdata_sound_preload |  | true | devonly, cl
citadel_end_of_match_additional_delay_s | How long in addition to the tv_delay do we wait at the end of the match before going to the score screen in seconds | 10 | devonly, sv, rep
citadel_enemy_consume_stamina_notification_range_close | If an enemy is this close, then we send a stamina consume usermessage to enemies. | 10 | devonly, sv, cl, rep
citadel_enemy_consume_stamina_notification_range_far | If an enemy is this far, then we never send a stamina consume usermessage to enemies. | 100 | devonly, sv, cl, rep
citadel_english_hero_names |  | false | cl, a
citadel_english_mod_names |  | false | cl, a
citadel_entity_ping_duration |  | 6 | sv, cheat
citadel_event_collection_delay_s | Number of seconds to buffer events before an initial send | 1 | devonly, cl
citadel_event_collection_retry_s | Number of seconds to wait for a retry of events | 1 | devonly, cl
citadel_event_indicator_distance_extremely_far |  | 3000 | devonly, cl
citadel_event_indicator_distance_far |  | 1000 | devonly, cl
citadel_event_indicator_distance_normal |  | 300 | devonly, cl
citadel_event_indicator_distance_very_far |  | 2000 | devonly, cl
citadel_event_indicator_dps_percent_high |  | 0.5 | devonly, cl
citadel_event_indicator_dps_percent_low |  | 0.1 | devonly, cl
citadel_event_indicator_dps_percent_mid |  | 0.3 | devonly, cl
citadel_event_indicator_mitigation_high |  | 0.6 | devonly, cl
citadel_event_indicator_mitigation_low |  | 0.2 | devonly, cl
citadel_event_indicator_mitigation_mid |  | 0.5 | devonly, cl
citadel_event_timer_frequency_imminent |  | 6 | devonly, cl
citadel_event_timer_frequency_soon |  | 25 | devonly, cl
citadel_event_timer_max_distance_distance |  | 5000 | devonly, cl
citadel_event_timer_max_distance_scale |  | 10 | devonly, cl
citadel_event_timer_max_view_angle |  | 45 | devonly, cl
citadel_event_timer_min_distance_distance |  | 1000 | devonly, cl
citadel_event_timer_min_distance_scale |  | 1.5 | devonly, cl
citadel_event_timer_min_view_angle |  | 12 | devonly, cl
citadel_event_timer_scale_on_direct_look |  | 1.33 | devonly, cl
citadel_exonerate_account | &lt;Account ID&gt; Clear recent cheat reports on this account. | cmd | cl, release
citadel_fake_bots_as_pinging_player |  | false | sv, cheat
citadel_fake_comms_ban_timestamp |  | 0 | devonly, cl
citadel_fake_death_gold |  | false | devonly, cl
citadel_fake_low_pri_games_remaining |  | -1 | devonly, cl
citadel_fake_no_match_metadata |  | false | devonly, cl
citadel_fake_number_of_games_played |  | -1 | cl, release
citadel_fake_party_roster_usage |  | false | devonly, cl
citadel_fake_rank_for_match | Set what rank you want to fake for the match. -1 is disabled | -1 | devonly, sv, cl, rep
citadel_fake_report_ban_timestamp |  | 0 | devonly, cl
citadel_fake_subrank_for_match | Set what subrank you want to fake for the match. -1 is disabled | -1 | devonly, sv, cl, rep
citadel_familiar_debug |  | -1 | devonly, sv, cl, rep, cheat
citadel_familiar_infiniteattach |  | false | devonly, sv, cl, rep, cheat
citadel_familiar_sprites_debug |  | false | devonly, sv
citadel_familiar_sprites_debug_spam |  | false | devonly, sv
citadel_familiar_sprites_stuck_detection_duration |  | 0.2 | devonly, sv
citadel_fencer_lunge_debug_draw |  | false | devonly, cl
citadel_fencer_max_charge_unlag_players |  | 0.12 | devonly, sv
citadel_fetch_cheat_reports | Request accounts recently reported for cheating | cmd | cl, release
citadel_fibonacci_sphere_trace | Draws the LOS check generated by our fibonacci sphere trace algorithm | cmd | sv, cheat
citadel_fibonnaci_sphere_trace_debug |  | false | devonly, sv, cl, rep
citadel_fibonnaci_sphere_trace_fraction |  | 0.8 | devonly, sv, cl, rep
citadel_fibonnaci_sphere_trace_los_max | How big to cap the size of the sphere when checking for really large explosion/effects | 160 | devonly, sv, cl, rep
citadel_finale_duration |  | 6 | devonly, sv
citadel_first_person | Enables first-person viewpoint | false | devonly, cl
citadel_fissure_debug |  | false | devonly, sv, cl, rep
citadel_fissure_forward_trace_distance |  | 75 | devonly, sv, cl, rep
citadel_fissure_hit_debug |  | 0 | devonly, sv, cl, rep
citadel_fissure_max_offset_down |  | -2000 | devonly, sv, cl, rep
citadel_fissure_max_offset_up |  | 150 | devonly, sv, cl, rep
citadel_fly_accelerate |  | 2 | sv, cl, rep, cheat
citadel_force_assigned_lane | forces the local player to be assigned to the specified lane # | 0 | devonly, sv
citadel_force_on_upgrade_for_all_abilities | Force all abilities to call OnUpgrade() | cmd | devonly, sv
citadel_force_playofthegame | Force begin play of the game | cmd | devonly, sv
citadel_force_resolution | Force a resolution change even if it's not supported on your monitor. \[h\] \[w\] \[refresh rate\] | cmd | devonly, cl
citadel_force_spawn_idol | Force idol spawn | cmd | devonly, sv
citadel_force_strict_abandon_rules | Enforce strict matchmaking style abandon rules even in practice/bot matches (useful for testing) | false | devonly, sv, cl, rep
citadel_force_subnav_options |  | false | devonly, cl
citadel_force_unpause_cooldown | Force unpause cooldown if you're the pauser as if you weren't the pauser. | false | devonly, sv
citadel_forced_hero_model | Forces all heroes to use this model |  | devonly, sv, cheat
citadel_forge_sentry_gold_reward |  | 40 | devonly, sv
citadel_forge_sentry_gold_reward_bonus_per_minute |  | 4 | devonly, sv
citadel_fow_player_range | Player Fow Vision Range | 2500 | devonly, sv, rep
citadel_gamemode_streetbrawl_enabled |  | false | sv, cl, rep, release
citadel_generator_minimap_icon_radius |  | 24 | devonly, cl
citadel_get_rp | Retrieves the rich presence of the user (leave blank for local or specify user with SteamID.Render() format). | cmd | devonly, cl
citadel_gg_call_time |  | 10 | devonly, sv, cl, rep
citadel_give_gold | &lt;gold&gt; Give gold value to all players | cmd | sv, cheat
citadel_give_player_gold | &lt;player name&gt; &lt;gold&gt; Gives the specified player gold | cmd | sv, cheat
citadel_gold_bonus_scale_for_familiar_infest |  | 1.2 | devonly, sv
citadel_gold_flash_max_duration |  | 0.8 | devonly, cl
citadel_gold_flash_max_threshold |  | 500 | devonly, cl
citadel_gold_flash_med_threshold |  | 100 | devonly, cl
citadel_gold_flash_min_duration |  | 0.125 | devonly, cl
citadel_gold_flash_min_threshold |  | 30 | devonly, cl
citadel_gold_text_height_offset | How much higher should gold text show up. | 35 | devonly, cl
citadel_golden_idol_balance_threshold |  | 0.9 | devonly, sv, cl, rep
citadel_golden_idol_balance_threshold_first_spawn |  | 0.85 | devonly, sv, cl, rep
citadel_grant_dev_account | &lt;Account ID&gt; \[0/1\] Grants or removes dev access to an account | cmd | devonly, cl
citadel_gravity_scaling_experiment | Increase gravity for players while they are moving at pedestrian speeds (lateral speeds below 300, up to 500) | false | sv, cl, rep, cheat
citadel_guide_bot_say | &lt;line&gt; makes the guide bot say the specified line | cmd | devonly, sv
citadel_guided_bot_ap_boost |  | 10 | devonly, sv
citadel_guided_bot_match_countdown_time |  | 10 | devonly, sv
citadel_guided_bot_match_hint_time_mult | How much faster/slower to show hints in guided bot match mode | 0.25 | cl, release
citadel_guided_bot_match_net_worth_boost |  | 20000 | devonly, sv
citadel_guided_bot_match_net_worth_target |  | 1000 | devonly, sv
citadel_guided_bot_match_report_card_time |  | 0 | devonly, sv
citadel_guided_bot_t1_boss_ignore_damage_threshold |  | 0 | sv, rep, release
citadel_gun_boon_growth_vdata_tweak | Command to tweak boon gun damage growth. <br>** Usage<br>- arg1 - Scale Value 1.0 being no change. | cmd | devonly, cl
citadel_gun_iron_sights_threshold | When iron sights amount is greater than this value, we are considered in iron sights mode. | 0.9 | devonly, sv, cl, rep
citadel_gun_max_spread_penalty | Max spread penalty you can incur from taking damage | 5 | sv, cl, rep, cheat
citadel_healthbars_enabled |  | true | cl, release
citadel_hero_builds_universe |  |  | cl, a, release
citadel_hero_card_fake_party_member_count |  | -1 | devonly, cl
citadel_hero_challenge_status_fake_data | Shows fake data for hero challenge status | false | devonly, cl
citadel_hero_demo_enable_fast_stamina | Do we enable fast stamina cooldowns | false | sv, cl, a, rep, release
citadel_hero_demo_enable_unlimited_ammo | Do we enable unlimited ammo | false | sv, cl, a, rep, release
citadel_hero_demo_hero_spawn | Which hero do we spawn when we spawn and enemy or ally hero | hero_inferno | sv, cl, a, rep, release
citadel_hero_demo_infinite_resources | Do we start our hero demo with infinite resources | true | sv, cl, a, rep, release
citadel_hero_demo_no_cooldowns | Do we start withough cooldowns when launching the hero demo map | false | sv, cl, a, rep, release
citadel_hero_demo_no_death | Do we start withough death when launching the hero demo map | false | sv, cl, a, rep, release
citadel_hero_demo_no_troopers | Do we start withough troopers when launching the hero demo map | false | sv, cl, a, rep, release
citadel_hero_demo_persist_convars | Do we persist convars between sessions in hero demo | false | sv, cl, a, rep, release
citadel_hero_demo_spawn_items | Items to give a hero post spawn |  | sv, cl, rep, cheat, release
citadel_hero_demo_unlock_flex_slots | Do we start flex slots unlocked | false | sv, cl, a, rep, release
citadel_hero_lock_all | Relocks all heroes for this account | cmd | devonly, cl
citadel_hero_release_vote_august_2025_debug_votes_cast_total |  | -1 | devonly, sv
citadel_hero_release_vote_debug_remaining_votes |  | -1 | devonly, cl
citadel_hero_roster | A comma separated list of hero IDs that hold the currently selected roster heroes |  | cl, a, release
citadel_hero_roster_banned | A comma separated list of hero IDs that hold the currently banned roster heroes |  | cl, a, release
citadel_hero_roster_high_priority | A comma separated list of hero IDs that hold the currently high priority roster heroes |  | cl, a, release
citadel_hero_roster_preferred | A comma separated list of hero IDs that hold the currently preferred roster heroes |  | cl, a, release
citadel_hero_roster_random | Is the hero roster set to random | false | cl, a, release
citadel_hero_testing_dummy_target | Dummy Target heroID if non-specified | 55 | sv, release
citadel_hero_testing_enabled |  | false | sv, cl, rep, release
citadel_hero_testing_give_abilities | Grant Abilities on Character Spawn | true | sv, rep, release
citadel_hero_testing_infinite_money | Enable infinite money in Hero Testing | false | sv, cl, rep, release
citadel_hero_testing_money | How much money to buffer item purchases in Hero Testing | 4000 | sv, rep, release
citadel_hero_unlock | &lt;Hero ID&gt; Unlocks the specified hero | cmd | devonly, cl
citadel_hero_unlock_all | Unlocks all heroes for this account | cmd | devonly, cl
citadel_herolabs_schedule_override | Override the hero labs schedule we think is assigned to your client | 0 | devonly, cl
citadel_hide_botbrawl_after_brawl_wins |  | 2 | devonly, cl
citadel_hide_botbrawl_after_normal_wins |  | 5 | devonly, cl
citadel_hide_modifier_bars_on_left_hud |  | false | devonly, cl
citadel_hide_replay_hud |  | false | cl, release
citadel_hide_tutorial_after_brawl_wins |  | 2 | devonly, cl
citadel_hide_tutorial_after_normal_games |  | 5 | devonly, cl
citadel_hideout_accept_request | Accept an incoming request in the hideout | cmd | cl, release
citadel_hideout_ball_combat | WIP Allow ball to transfer melee attacks. | 0 | devonly, sv
citadel_hideout_ball_debug | Show custom collision, ball kick impulses etc. | 0 | sv, cheat
citadel_hideout_ball_show_juggle_count | WIP Show juggle count on ball. | 0 | devonly, sv
citadel_hideout_ball_show_juggle_fx | WIP Show fx when hitting apex/landing on floor. | 0 | devonly, sv
citadel_hideout_button_interact_distance |  | 120 | devonly, sv, cl, rep
citadel_hideout_cancel_matchmaking | Remove yourself or your party from the matchmaking queue | cmd | cl, release
citadel_hideout_enable_testing_tools |  | false | devonly, cl
citadel_hideout_exclusive_mode |  | true | devonly, cl
citadel_hideout_hero_id |  | 63 | cl, a, release
citadel_hideout_intro_dismiss_escape_only |  | false | devonly, cl
citadel_hideout_intro_version_seen |  | 0 | cl, a, release
citadel_hideout_map_enabled | Cheat to make that map pretend its the hideout | false | devonly, sv, cl, rep
citadel_hideout_news | Show hideout news | cmd | cl, release
citadel_hideout_npc_debug |  | false | devonly, sv
citadel_hideout_reject_request | Reject an incoming request in the hideout | cmd | cl, release
citadel_hideout_spoof_connection_state |  | -1 | devonly, cl
citadel_hideout_survey_option | &lt;option number&gt; Submit a response to the current survey question | cmd | cl, release
citadel_hideout_survey_skip | Skip the current survey question | cmd | cl, release
citadel_hideout_teleport_trigger_delay |  | 3 | devonly, sv, cl, rep
citadel_hideout_tick_rate_override |  | 32 | sv, cl, rep, release
citadel_hideout_use | Interact with a targeted hideout button | cmd | cl, release
citadel_hideout_use_lobby_server |  | true | devonly, cl
citadel_hint_activate | Forces a hint to be ready to show in the HUD | cmd | devonly, cl
citadel_hint_system_disable | Set to disable hints | false | cl, release
citadel_hitbox_body_to_headshot_debug |  | false | devonly, sv, cl, rep
citadel_hitbox_body_to_headshot_threshold | Distance threshold that we allow bullet to penetrate body to headshot. | 15 | devonly, sv, cl, rep
citadel_hud_announcement_display_time_all_queued |  | 7 | devonly, cl
citadel_hud_announcement_display_time_max |  | 3 | devonly, cl
citadel_hud_announcement_force_single_levelup |  | false | devonly, cl
citadel_hud_build_category_max_height |  | 600 | devonly, cl
citadel_hud_build_category_min_height |  | 185 | devonly, cl
citadel_hud_build_category_min_width |  | 125 | devonly, cl
citadel_hud_chat_wheel |  | true | devonly, cl
citadel_hud_damage_counter_duration |  | 4 | devonly, cl
citadel_hud_exclusive_visible_id | When set, only show the panel with the corresponding id |  | cl, cheat
citadel_hud_heal_counter_duration |  | 4 | devonly, cl
citadel_hud_healthbars_use_new |  | false | cl, cheat, release
citadel_hud_healthbars_use_v2 |  | false | cl, cheat, release
citadel_hud_objective_health_debug_show_midboss |  | false | devonly, cl
citadel_hud_objective_health_debug_show_t3 | 0=default 1=friendly 2=enemy 3=both | 0 | devonly, cl
citadel_hud_objective_health_enabled | Enable/Disable HUD-level objective health bars.  0=Off. 1=Shrines, Patron, Midboss. 2=T1s and T2s. 3=Barracks | 2 | devonly, cl
citadel_hud_objective_health_idle_timeout | After how many seconds of an objective is damage to hide its health on the HUD | 7 | devonly, cl
citadel_hud_objective_health_lane_max_range |  | 1000 | devonly, cl
citadel_hud_objective_health_t1_max_range |  | 1900 | devonly, cl
citadel_hud_objective_health_t2_max_range |  | 2500 | devonly, cl
citadel_hud_top_bar_enable_dynamic_player_position |  | true | devonly, cl
citadel_hud_visible | Turns on/off rendering the HUD | true | cl, release
citadel_idle_time | How long a player needs to be idle before he counts as disconnected. | 300 | devonly, sv
citadel_idle_time_grace_period | How long a player needs to be idle we start putting that time towards their stored idle time. | 8 | devonly, sv
citadel_in_world_item_panel_dpi | In-world texture resolution scale | 2 | devonly, cl
citadel_inactive_time_grace_period | How long a player needs to be inactive (i.e. not taking any meaningful actions) before we start putting that time towards their stored inactive time. | 30 | devonly, sv
citadel_increase_replay_speed | Increase the Replay speed while watching a replay | cmd | cl, release
citadel_increment_killstreak | citadel_increment_killstreak \[player_slot\] \[first_blood\] | cmd | devonly, sv
citadel_initial_wall_jump_stamina_cost | How much stamina is required, and costs, to perform your first wall jump. | 0 | devonly, sv, cl, rep
citadel_invalidate_player_stats_cache | Invalidate player stats cache so it's pulled from the GC | cmd | devonly, cl
citadel_invert_ping_type | Inverts the ping types so single ping would be aggressive and double ping would be passive | false | cl, a
citadel_item_draft_enabled | Use item drafting?  1=only street brawl 2=always | 1 | sv, cl, rep, release
citadel_item_draft_force_all_rares |  | false | devonly, sv
citadel_item_draft_force_draw | Comma-separated list of localized item names to force draft.  Ignores tier requirements.  ex, spirit lifesteal, extra charge |  | devonly, sv
citadel_item_early_gold_duration |  | 30 | sv, cheat
citadel_item_glow_local_dist |  | 800 | cl, cheat
citadel_item_idol_label_offset |  | 50 | cl, cheat
citadel_item_neutral_gold_label_offset |  | 6 | cl, cheat
citadel_item_pickup_fall_tolerance |  | 16 | sv, cheat
citadel_item_pickup_fallrate |  | 5 | sv, cheat
citadel_item_purchases_force_enhanced | While true, all items purchased/drafted will be enhanced | false | sv, cheat
citadel_item_rejuvenator_label_offset |  | 160 | cl, cheat
citadel_item_sell_price_ratio |  | 0.5 | devonly, sv, cl, rep
citadel_item_used_text_height_offset | How much higher item used text show up. | 25 | devonly, cl
citadel_jump_overhead_clearance | Distance above player step height that needs to be clear to allow for jumping | 73 | devonly, sv, cl, rep
citadel_keybind_default_hold_duration |  | 1 | devonly, cl
citadel_keybindings_cloud_disable |  | false | devonly, cl
citadel_kick_disconnected_players | Clear out all players who aren't connected, removing them from any teams | cmd | devonly, sv
citadel_landing_to_predicted | Landing to prediction | cmd | devonly, cl
citadel_lane_matchups_mmr_variance | specifies how much of a gap between MMR's we allow to randomize lane assignment | 0 | sv, release
citadel_lane_swap_available_duration | How long lane swap is available, including pre-match time. Set to 0 to disable. | 40 | sv, cl, rep, cheat
citadel_language_and_english_hero_names | For data gathering. |  | devonly, cl
citadel_language_and_english_mod_names | For data gathering. |  | devonly, cl
citadel_lash_ground_strike_debug |  | 0 | devonly, sv
citadel_last_used_hero_builds |  |  | cl, a, release
citadel_leaderboard_cache_duration | Number of seconds before re-requesting data for the leaderboard | 43200 | devonly, cl
citadel_leaderboard_empty_cache_duration | Number of seconds before re-requesting data for the leaderboard | 20 | devonly, cl
citadel_lethal_damage_tracking_time | Time window for damage to be considered lethal | 60 | devonly, sv, rep
citadel_life_stats_ignore_rebirth | When set to true, we will ignore stats being reset for a lifetime when the player comes back from rebirth | true | devonly, sv
citadel_life_stats_ignore_rejuv | When set to true, we will ignore stats being reset for a lifetime when the player comes back from rejuvinator | true | devonly, sv
citadel_list_upgrades | Shows the list of upgrades/items/mods a player has in the order they purchased them. 0-3 for verbosity | cmd | devonly, cl
citadel_locally_lock_heroes | When set to true, the client will act as if the heroes are locked even if the GC says that they aren't. Useful for testing purposes | false | devonly, cl
citadel_lock_flex_slots | &lt;team number&gt; - Lock the flex slots for a team (or both teams if you omit the team number) | cmd | sv, cheat
citadel_lock_mmr | &lt;Account ID&gt; \[MMR\] Locks a user to the current MMR (optionally can set the MMR as well) | cmd | devonly, cl
citadel_log_idle_time |  | false | devonly, sv
citadel_log_in_combat_state | Enable to log extended MODIFIER_STATE_IN_COMBAT | true | devonly, sv
citadel_loot_table_spew_flattened_table |  | false | sv, cl, rep, cheat
citadel_loot_table_spew_modifications |  | false | sv, cl, rep, cheat
citadel_mantle_cancelling_allowed | Pulling away from the mantle interrupts it, putting you into falling state early. | false | sv, cl, rep, cheat
citadel_mantle_debug |  | false | devonly, sv, cl, rep
citadel_mantle_horizontal_movement_distance | How far forward the mantle will move the player onto the ledge | 16 | devonly, sv, cl, rep
citadel_mantle_max_height | How high the maximum mantle is | 134 | sv, cl, rep, cheat
citadel_mantle_probe_depth | How far in front of player to trace when looking for mantle ledges. | 32 | devonly, sv, cl, rep
citadel_match_abandoned | Ends the current match as if players all abandoned. | cmd | devonly, sv
citadel_match_abandoned_display_time |  | 5 | devonly, cl
citadel_match_data_allow_meta_prefix | A comma separated list of prefixes that will allow for recording of track groups to the metadata file |  | devonly, sv
citadel_match_data_block_meta_prefix | A comma separated list of prefixes that will block recording of track groups to the metadata file |  | devonly, sv
citadel_match_data_incombat_duration |  | 5 | devonly, sv
citadel_match_data_interval |  | 3 | devonly, sv
citadel_match_data_max_path_samples |  | 7200 | devonly, sv
citadel_match_data_path_sample_interval_s |  | 1 | devonly, sv
citadel_match_details | &lt;MatchID&gt; \[Metadata Salt\] Opens the match details to the specified match | cmd | cl, release
citadel_match_details_failure_delay_s |  | 3 | devonly, cl
citadel_match_details_flip_teams |  | false | devonly, cl
citadel_match_details_lane_stats_time |  | 540 | devonly, cl
citadel_match_end | Ends the current match | cmd | devonly, sv
citadel_match_history_failure_delay_s |  | 3 | devonly, cl
citadel_match_intro_duration_full | How long pre-match is until we start the match in the full version | 23 | sv, cheat
citadel_match_intro_duration_simple | How long pre-match is until we start the match in the simple version. | 5 | sv, cheat
citadel_match_intro_force_enabled |  | false | devonly, sv, cl, rep
citadel_match_intro_style | 0 = none, 1 = pregame simple, 2 = pregame full, 3 = in map | 1 | devonly, sv, cl, rep
citadel_match_status | Prints information about the current match status | cmd | devonly, sv
citadel_max_disconnected_time | How long a player needs to be disconnected before they count as a leaver and get punished. | 300 | devonly, sv
citadel_max_disconnected_time_pregame | How long a player needs to be disconnected during pregame before they count as a leaver and get punished. | 110 | devonly, sv
citadel_max_path_detour | Max detour for pathing calculations. | 500 | devonly, sv
citadel_max_reconnect_time_secs | Max time to attempt a reconnect after a crash. | 7200 | devonly, cl
citadel_max_videomode_matches | Max number of video resolutions to show in UI. | 20 | devonly, cl
citadel_medic_minion_sight_range |  | 2400 | devonly, sv, cl, rep
citadel_melee_damage_scale |  | 1 | devonly, sv
citadel_melee_draw_traces |  | false | devonly, sv
citadel_melee_heavymelee_push_force |  | 30 | devonly, sv
citadel_melee_heavymelee_push_force_vs_tiny |  | 35 | devonly, sv
citadel_melee_heavymelee_toss_force_vs_tiny_min |  | 250 | devonly, sv
citadel_melee_hit_delay_max_time |  | 0.1 | devonly, sv
citadel_melee_shake_amplitude |  | 0.55 | devonly, sv
citadel_melee_shake_duration |  | 0.1 | devonly, sv
citadel_melee_shake_frequency |  | 0.2 | devonly, sv
citadel_metal_expire_time |  | 30 | devonly, sv
citadel_midboss_initial_spawn_time_override | If positive, override initial spawn time (in seconds) for midboss | -1 | devonly, sv
citadel_midboss_spawn_interval_override | If positive, override initial spawn interval (in seconds) for midboss | -1 | devonly, sv
citadel_min_accel_speed | How fast we accelerate depends on our move speed - this lower bound ensures it doesn't go below ground friction | 400 | sv, cl, rep, cheat
citadel_min_match_minutes_for_replay | The minimum number of minutes a match needs to be in order to be considered valid for replay uploading | 5 | devonly, sv
citadel_minimap_arrow_show_distance_down |  | 100 | devonly, sv
citadel_minimap_arrow_show_distance_up |  | 200 | devonly, sv
citadel_minimap_draw_fow |  | false | cl, cheat
citadel_minimap_local_player_width |  | 12 | cl, release
citadel_minimap_max_icon_shrink |  | 0.8 | cl, release
citadel_minimap_npc_reveal_duration |  | 0.25 | devonly, sv
citadel_minimap_objective_damaged_reveal_duration |  | 1 | devonly, sv
citadel_minimap_overlap_scan_distance |  | 12.5 | cl, release
citadel_minimap_player_width |  | 7 | cl, release
citadel_minimap_show_hitboxes |  | false | devonly, cl
citadel_minimap_spectator_fow_team_view | Which team to view the minimap as when freeflying | 1 | cl, release
citadel_minimap_teleporter_active_dist |  | 400 | devonly, cl
citadel_minimap_teleporter_height_dist |  | 160 | devonly, cl
citadel_minimap_teleporter_nearby_dist |  | 1600 | devonly, cl
