Name | Description | Default Value | Flags
ai_debug_shoot_positions |  | 0 | sv, cl, rep, cheat
ai_debug_speech |  | 0 | devonly, sv
ai_debug_squads |  | false | devonly, sv
ai_debug_squadslotusage | Report squad slot usage for npc_selected NPCs. | false | sv, cheat
ai_debug_volumetric_event | Reports events being entered into the AI events list. Set to 1 to see all events, set to 2 to only see DANGER events. | 0 | devonly, sv
ai_debug_volumetric_event_duration | Length of time to display ai_debug_volumetric_event visual displays. | 0.1 | devonly, sv
ai_debugscriptconditions |  | false | devonly, sv
ai_disable | Bi-passes all AI logic routines and puts all NPCs into their idle animations.  Can be used to get NPCs out of your way and to test effect of AI logic routines on frame rate | cmd | sv, cheat
ai_disabled |  | false | sv, cl, rep, cheat
ai_doors_force_animation |  | -1 | devonly, sv
ai_drop_hint | Drop an ai_hint at the player's current eye position. | cmd | sv, cheat
ai_dump_hints |  | cmd | devonly, sv
ai_elude_time |  | 8 | devonly, sv
ai_facingservices_debug_reasonablefacing | Debug logic for finding reasonable facing. | 0 | sv, cheat
ai_facingservices_debug_spew | Adds spew to the facing target for the selected NPC | false | sv, cheat
ai_facingservices_draw_entity_facing |  | false | sv, cheat
ai_facingservices_generated_target_min_duration |  | 1.2 | devonly, sv
ai_foot_sweep_debug |  | false | devonly, sv
ai_foot_sweep_enable |  | true | devonly, sv
ai_foot_sweep_hit_impulse |  | 75 | devonly, sv
ai_foot_sweep_hit_impulse_min_mass |  | 10 | devonly, sv
ai_foot_sweep_move_scale |  | 1.4 | devonly, sv
ai_foot_sweep_perp_apply |  | 0.5 | devonly, sv
ai_foot_sweep_perp_base |  | 30 | devonly, sv
ai_foot_sweep_perp_scale |  | 0.5 | devonly, sv
ai_footstep_delay |  | 0.5 | devonly, sv
ai_force_serverside_ragdoll |  | false | devonly, sv
ai_gather_conditions_async | Allow gathering of conditions to be done asynchronously. | false | devonly, sv
ai_hull_trace_epsilon |  | 0.01 | devonly, sv
ai_ignore_collision_player_noclip |  | false | sv, a, cheat
ai_inhibit_spawners |  | false | sv, cheat
ai_keep_interrupt_path_across_schedules |  | true | sv, cheat
ai_local_navigator_direct_test_versus_static_collision |  | true | devonly, sv
ai_local_navigator_navmesh_enable |  | true | devonly, sv
ai_lod_auto_enabled |  | false | devonly, sv
ai_lod_debug_display |  | 0 | devonly, sv
ai_motor_debug |  | 0 | sv, cheat
ai_motor_debug_additional_movement_settings |  | false | sv, cheat
ai_motor_debug_ag1_path |  | false | sv, cheat
ai_motor_debug_hop |  | false | sv, cheat
ai_motor_debug_idle_turn |  | false | sv, cheat
ai_motor_debug_move_heading |  | false | sv, cheat
ai_motor_debug_move_heading_bad_zones |  | false | sv, cheat
ai_motor_debug_override_path |  | false | sv, cheat
ai_motor_debug_show_current_state |  | false | sv, cheat
ai_motor_debug_show_speed_info |  | false | sv, cheat
ai_motor_debug_state_deadlocks |  | false | sv, cheat
ai_motor_debug_stop |  | false | sv, cheat
ai_motor_debug_transitions |  | false | sv, cheat
ai_motor_enable_move_heading_bad_zones |  | true | sv, cheat
ai_motor_ground_enable_detailed_debug_data |  | false | sv, cheat
ai_motor_max_state_time_active |  | 6 | sv, cheat
ai_motor_move_direction_lookahead |  | 6 | sv, cheat
ai_motor_nav_links_force_facing_time |  | 12 | sv, cheat
ai_motor_path_alignment_max_angular_velocity |  | 300 | sv, cheat
ai_motor_planted_turn_lookahead_distance |  | 100 | sv, cheat
ai_motor_planted_turn_lookahead_distance_speed |  | 150 | sv, cheat
ai_motor_procedural_idle_turn_speed |  | 20 | sv, cheat
ai_motor_procedural_idle_turn_threshold |  | 2 | sv, cheat
ai_motor_procedural_turn_while_stopping_threshold |  | 5 | sv, cheat
ai_motor_use_fast_move_heading_bad_zone_pass |  | true | sv, cheat
ai_moveprobe_debug |  | false | devonly, sv
ai_moveprobe_jump_debug |  | 0 | devonly, sv
ai_navigator_clipped_path_save |  | true | devonly, sv
ai_navigator_clipped_path_use_interrupt |  | true | devonly, sv
ai_navigator_disable_collision_on_stuck |  | true | sv, cheat
ai_navigator_draw_type_change |  | 0 | devonly, sv
ai_navigator_draw_wait_for_facing | Show when a NPC is waiting for facing tolerance to be reached while at the end of its path | false | devonly, sv, rep
ai_navigator_place_waypoints_on_ground |  | false | devonly, sv, rep
ai_navigator_repath_enable | Enable dynamic repathing based on goal movement. | true | sv, cheat
ai_navigator_repath_on_change | When nav mesh changes along an NPC's existing path, force a repath. | true | sv, cheat
ai_navigator_repath_tolerance_alpha | The distance a target entity can move before triggering a repath is ( arrival time * ai_navigator_repath_tolerance_alpha ), clamped to the min / max allowed values. | 20 | sv, cheat
ai_navigator_repath_tolerance_max | The maximum distance that a target entity can move before triggering a repath to that target. | 300 | sv, cheat
ai_navigator_repath_tolerance_min | The minimum distance that a target entity can move before triggering a repath to that target. | 8 | sv, cheat
ai_navigator_repath_tolerance_min_speed | When calculating repathing tolerance, clamp entity speed to be at least this value (i.e. consider slow entities to be this fast). | 100 | sv, cheat
ai_navigator_snap_to_ground_goal |  | false | sv, cheat
ai_navigator_use_arrival_direction |  | true | sv, cheat
ai_no_steer |  | false | devonly, sv
ai_off_nav_show_nearest |  | false | sv, cheat
ai_path_draw_active | 0 = no debug, 1 = draw waypoint path | false | devonly, sv, rep
ai_path_draw_cached_values | Display draw cached values like Actual Goal Position. | false | devonly, sv, rep
ai_path_draw_fail | Draw failed pathfinding attempts | 0 | devonly, sv, rep
ai_path_draw_on_calc | Number of seconds to draw an AI path after it is calculated. | 0 | devonly, sv, rep
ai_path_draw_selected | If true, draw AI path for selected NPC. | 0 | devonly, sv, rep
ai_path_draw_src | Display calling code that created the path goal. | false | devonly, sv, rep
ai_path_draw_waypoint_mark | 0: Draw nothing at waypoints; 1: Draw a tick mark at waypoints; 2: Draw a shape around waypoints. | 0 | devonly, sv, rep
ai_path_draw_waypoint_type_label | 1 = draw labels of waypoint types during ai_path_draw_active | false | devonly, sv, rep
ai_path_draw_yaw | Display yaw value for path goal. | false | devonly, sv, rep
ai_path_return_a |  | 0.5 | devonly, sv
ai_path_return_d |  | 50 | devonly, sv
ai_path_return_parallel_speed |  | 100 | devonly, sv
ai_path_return_t |  | 2 | devonly, sv
ai_path_show_discard_immediately |  | false | sv, cheat
ai_plane_solver_debug |  | true | devonly, sv
ai_plane_solver_use_navmesh |  | false | devonly, sv
ai_ragdoll_phys_death_multiplier |  | 1 | devonly, sv
ai_report_task_timings_on_limit |  | false | sv, a
ai_resume | If NPC is stepping through tasks (see ai_step ) will resume normal processing. | cmd | sv, cheat
ai_select_box_alpha | The select box alpha. | 20 | sv, a
ai_select_box_style | How selected NPC's are highlighted. ( 0 = no highlight, 1 = npc hull, 2 = cross at origin ) | 1 | devonly, sv
ai_sequence_debug |  | false | devonly, sv, cl, rep
ai_set_move_height_epsilon | Set how high AI bumps up ground walkers when checking steps | cmd | devonly, sv
ai_setenabled | Like ai_disable but you manually specify the state (with a 0 or 1) instead of toggling it. | cmd | sv, cheat
ai_show_gravity | 1 = show gravity when applied, 2 = always show gravity | 0 | devonly, sv
ai_show_hints | Displays all hints as small boxes<br>	Blue		- hint is available for use<br>	Red		- hint is currently being used by an NPC<br>	Orange		- hint not being used by timed out<br>	Grey		- hint has been disabled | cmd | sv, cheat
ai_show_hitlocation |  | false | devonly, sv
ai_show_task_fail |  | 0 | sv, cheat
ai_show_think_tolerance |  | 0 | devonly, sv
ai_step | NPCs will freeze after completing their current task.  To complete the next task, use 'ai_step' again.  To resume processing normally use 'ai_resume' | cmd | sv, cheat
ai_strong_optimizations_no_checkstand |  | false | devonly, sv
ai_temp_difference_for_instant_ignite | how much hotter than the npc's flashpoint a heat source should be to instantly ignite them. | 100 | sv, cheat
ai_test_los_from_player_pov | Test AI LOS from the player's POV | cmd | devonly, sv
ai_test_moveprobe_ignoresmall |  | false | devonly, sv
ai_think_interval | Time interval between NPC thinks | 0.1 | devonly, sv
ai_think_interval_lod_low | Time interval between NPC thinks when set to AI LOD low. | 0.5 | devonly, sv
ai_think_interval_lod_med | Time interval between NPC thinks when set to AI LOD medium. | 0.25 | devonly, sv
ai_think_interval_lod_very_low | Time interval between NPC thinks when set to AI LOD very low. | 1 | devonly, sv
ai_think_limit_label |  | false | sv, a
ai_threaded_pathfind |  | true | devonly, sv
ai_time_to_ignite | How long an npc has to be exposed to heat above their flashpoint to catch on fire. | 0.3 | sv, cheat
ai_use_async_ragdoll_fixup |  | false | devonly, sv
ai_use_visibility_cache | Sets whether or not NPCs can cache their Visibility checks against other entities. If set to 2, also tests to make sure that NPC-&gt;Target results match that of Target-&gt;NPC. | 1 | devonly, sv
ai_use_visibility_cache_reciprocation | Sets whether or not the visibility check cache should be reciprocal. | true | devonly, sv
ai_vehicle_avoidance |  | true | sv, cheat
ai_waypoint_arrival_tolerance |  | 2 | devonly, sv
ainet_generate_report | Generate a report to the console. | cmd | devonly, sv
ainet_generate_report_only | Generate a report to the console. | cmd | devonly, sv
alias | Alias a command. | cmd | release
always_perform_full_spatial_partition_update |  | false | devonly, sv, cl, rep
anim_decode_forcewritealltransforms | Force BatchAnimationDecode to write transformations for all bones | false | devonly
anim_disable |  | false | devonly, sv, cl, rep
anim_eval_stats | Displays stats about how many EvaluatePose calls are unused | cmd | devonly, sv
anim_resource_validate_on_load | Validates the animation group channel list against the animations on load for every animation | true | release
animated_material_attributes |  | true | cl, cheat
animevents_dump | List all the currently registered anim events.<br> | cmd | sv, cheat
animgraph2_enable_parallel_update |  | true | devonly, sv, cl, rep
animgraph_debug | Debug animation graph | false | sv, cl, rep, cheat
animgraph_debug_animevents | Print info about animevents emitted by AnimGraph | false | devonly, sv, cl, rep
animgraph_debug_entindex | The entity to specifically debug | 0 | sv, cl, rep, cheat
animgraph_debug_filterent | Filter setting for animgraph_debug_variables output. If set to -1, show debug for all entities. If set to 0, show debug for any NPCs that have been npc_selected. If set to &gt;0, something other than 0, show debug for the entity with the matching entindex. | 0 | devonly, sv, cl, rep
animgraph_debug_max_poseop_count |  | false | 
animgraph_debug_set_filter_params | Comma separated list of params to filter against when drawing debug text overlays |  | devonly, sv, cl, rep
animgraph_debug_set_filter_tags | Comma separated list of tags to filter against when drawing debug text overlays |  | devonly, sv, cl, rep
animgraph_debug_show_unreferenced_params |  | false | devonly, sv, cl, rep
animgraph_debug_show_unreferenced_tags |  | false | devonly, sv, cl, rep
animgraph_debug_tags |  | false | devonly, sv, cl, rep
animgraph_debug_variables | Turn on to see animgraph variable changes for entities passing animgraph_debug_filterent. | false | devonly, sv, cl, rep
animgraph_debug_variables_ignore_missing | If set, animgraph_debug_variables won't show debug for warnings about sets to missing variables. | true | devonly, sv, cl, rep
animgraph_debug_variables_ignore_nonchanges | If set, animgraph_debug_variables won't show debug for variable sets that don't change the value. | true | devonly, sv, cl, rep
animgraph_draw_traces |  | false | devonly, sv, cl, rep
animgraph_dump_update_list | Displays stats about which animations are updating | cmd | devonly, sv
animgraph_enable | Enable animation graph | true | devonly, sv, cl, rep
animgraph_enable_dirty_netvar_optimization |  | true | devonly, rep
animgraph_enable_parallel_op_evaluation |  | false | devonly, sv, cl, rep
animgraph_enable_parallel_preupdate |  | false | devonly, sv, cl, rep
animgraph_enable_parallel_update |  | true | devonly, sv, cl, rep
animgraph_footlock_auto_ledge_detection | Attempt to detect when the foot is partially hanging off a ledge and stop it tilting to reach the bottom | true | devonly, rep
animgraph_footlock_auto_stair_detection | Attempt to detect when the foot is on a stair and will stop it from tilting to reach the next step | true | devonly, rep
animgraph_footlock_calculate_tilt |  | true | devonly, rep
animgraph_footlock_debug_foot_index |  | -1 | devonly, rep
animgraph_footlock_debug_type |  | 2 | devonly, rep
animgraph_footlock_draw_footbase |  | false | devonly, rep
animgraph_footlock_enabled | A master convar that effectively disables the entire footlock node. | true | devonly, rep
animgraph_footlock_ground_roll |  | true | devonly, rep
animgraph_footlock_hip_offset_enable |  | true | devonly, rep
animgraph_footlock_ik_enable | Enable IK. | true | rep, cheat
animgraph_footlock_tilt_mode |  | 1 | devonly, rep
animgraph_footlock_trace_ground_enabled | Convar for toggling foot lock ground tracking. | true | devonly, rep
animgraph_footlock_use_hip_shift |  | true | devonly, rep
animgraph_footstep_node_supresses_events |  | false | devonly, sv, cl, rep
animgraph_force_full_network_updates |  | false | devonly, rep
animgraph_ik_debug |  | false | devonly, rep
animgraph_motionmatching_print_compressionstats |  | false | devonly, rep
animgraph_network_enable | Enable animation graph networking. The setting is only read at graph creation time; to use please set on the command line. | true | devonly, sv, cl, rep
animgraph_parallel_postdataupdate |  | true | devonly, cl
